Range,Set,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,XSmall,Small,Regular,Large,Huge,FB,Group,9005,4008,1018,9010,3020,5015,Random,Non-Random,,,Summary,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,
, Stadium XXL3,0,0,3,0,0,0,0,0,0,1,0,0, Stadium XXL3,0,0,0,0,0,1,5,0,,,,,,,,,,
, Stadium XXL4,0,0,3,0,0,0,0,0,0,1,0,0, Stadium XXL4,0,0,1,0,0,0,2,0,,,,,,,,,,
, Stadium XXXL1,0,0,3,0,0,0,0,0,0,1,0,0, Stadium XXXL1,0,0,0,0,0,1,5,0,,,,,,,,,,
, Stadium XXXL2,0,0,2,0,0,0,0,0,0,1,0,0, Stadium XXXL2,1,0,0,0,0,0,0,0,,,,,,,,,,
, Stadium MEG 1,0,0,1,0,0,0,0,0,0,0,1,0,Stadium 2,1,0,0,0,0,0,0,0,,,,,,,,,,
, Stadium MEG 2,0,0,1,0,0,0,0,0,0,0,1,0,Stadium 2,0,0,0,0,0,1,5,0,,,,,,,,,,
, Stadium MEG 5 DT,0,0,1,0,0,0,0,0,0,0,1,0,Stadium 2,0,0,1,0,0,0,2,0,,,,,,,,,,
, Stadium MEG 7 DT,0,0,1,0,0,0,0,0,0,0,1,0,Stadium 2,0,0,0,0,1,0,4,0,,,,,,,,,,
, Stadium MEG 8,0,0,1,0,0,0,0,0,0,0,1,0,Stadium 2,0,0,0,0,1,0,4,0,,,,,,,,,,
Volumholds,Volcano,0,0,0,0,13,0,1,0,0,0,0,0,Volcano,0,0,0,0,0,1,5,0,,,,,,,,,,
,Soap,0,0,10,0,0,0,1,0,0,0,0,0,Soap,0,0,0,0,0,1,5,0,,,,,,,,,,
,Moon,0,0,0,0,5,0,1,0,0,0,0,0,Moon,0,0,1,0,0,0,2,0,,,,,,,,,,
,TV S,0,0,0,0,6,0,1,0,0,0,0,0,TV S,0,0,0,1,0,0,3,0,,,,,,,,,,
Wings,Harpies,0,0,5,0,0,0,1,0,0,0,0,0,Harpies,0,0,1,0,0,0,2,0,,,,,,,,,,
,Ange,0,0,0,0,5,0,1,0,0,0,0,0,Ange,0,0,0,0,1,0,4,0,,,,,,,,,,
,Méduse,0,0,0,0,5,0,1,0,0,0,0,0,Méduse,1,0,0,0,0,0,0,0,,,,,,,,,,
,Lucifer,0,0,0,0,5,0,1,0,0,0,0,0,Lucifer,0,0,0,1,0,0,3,0,,,,,,,,,,
,Rokh,0,0,0,0,10,0,0,1,0,0,0,0,Rokh,0,0,0,0,0,1,5,0,,,,,,,,,,
,Valkyrie,0,0,11,0,0,0,0,1,0,0,0,0,Valkyrie,0,0,0,0,0,1,5,0,,,,,,,,,,
,Sparrow,0,0,5,0,0,0,0,1,0,0,0,0,Sparrow,0,0,0,0,1,0,4,0,,,,,,,,,,
,Hawk,0,0,5,0,0,0,0,1,0,0,0,0,Hawk,0,0,0,1,0,0,3,0,,,,,,,,,,
,Astraeos,3,0,0,0,0,0,0,0,1,0,0,0,Astraeos,0,0,0,0,0,1,5,0,,,,,,,,,,
,Hermès,3,0,0,0,0,0,0,0,1,0,0,0,Hermès,0,1,0,0,0,0,1,0,,,,,,,,,,
,Blade,0,0,5,0,0,0,0,0,1,0,0,0,Blade,0,0,1,0,0,0,2,0,,,,,,,,,,
,Eos,2,0,0,0,0,0,0,0,0,1,0,0,Wings 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Icare,0,0,2,0,0,0,0,0,0,1,0,0,Wings 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Pegase,0,1,0,0,0,0,0,0,0,0,1,0,Wings 0,0,0,1,0,0,0,2,0,,,,,,,,,,
Craters,Marum,0,0,0,0,10,0,1,0,0,0,0,0,Crater 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Roncador,0,0,0,0,5,0,1,0,0,0,0,0,Crater 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Bikini,0,0,0,0,5,0,1,0,0,0,0,0,Crater 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Cook M1,0,0,0,0,0,3,0,1,0,0,0,0,Crater 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Cook M2,0,0,0,0,0,3,0,1,0,0,0,0,Crater 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Cook M3,0,0,0,0,0,3,0,1,0,0,0,0,Crater 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Amak,0,0,0,0,0,2,0,0,1,0,0,0,Crater 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Spider L1,0,0,0,0,0,3,0,1,0,0,0,0,Crater 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Spider L2,0,0,0,0,0,3,0,1,0,0,0,0,Crater 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Spider L3,0,0,0,0,0,3,0,1,0,0,0,0,Crater 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Erebus L1,0,0,0,0,2,0,0,0,1,0,0,0,Crater 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,Erebus L2,0,0,0,0,2,0,0,0,1,0,0,0,Crater 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,Onotoa,0,0,0,0,5,0,0,1,0,0,0,0,Crater 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Diamond,1,0,0,0,0,0,0,0,0,1,0,0,Crater 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,The Saucer XL1,0,0,0,0,0,2,0,0,0,1,0,0,Crater 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,Vulcain,0,0,0,0,0,1,0,0,1,0,0,0,Crater 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Krakatoa,0,0,0,0,0,1,0,0,0,1,0,0,Crater 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,Bagana,0,0,0,0,0,1,0,0,0,1,0,0,Crater 1,0,0,0,1,0,0,3,0,,,,,,,,,,
,Lepot,0,0,0,0,0,1,0,0,0,1,0,0,Crater 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,Magma,1,0,0,0,0,0,0,0,0,1,0,0,Crater 1,0,0,0,0,0,1,5,0,,,,,,,,,,
Pulsar,Pulsar XS1,0,0,0,0,15,0,1,0,0,0,0,0,Pulsar,1,0,0,0,0,0,0,0,,,,,,,,,,
,Pulsar L2,0,0,0,3,0,0,0,0,1,0,0,0,Pulsar,0,0,0,0,1,0,4,0,,,,,,,,,,
,Pulsar XL1,0,0,0,2,0,0,0,0,0,1,0,0,Pulsar,0,0,0,0,1,0,4,0,,,,,,,,,,
,Pulsar XXL1,0,0,0,2,0,0,0,0,0,1,0,0,Pulsar,0,0,0,0,0,1,5,0,,,,,,,,,,
,Pulsar mega 1,0,0,0,1,0,0,0,0,0,0,1,0,Pulsar,0,1,0,0,0,0,1,0,,,,,,,,,,
,Pulsar mega 2,0,0,0,1,0,0,0,0,0,0,1,0,Pulsar,0,0,0,0,1,0,4,0,,,,,,,,,,
,Pulsar mega 3,0,0,0,1,0,0,0,0,0,0,1,0,Pulsar,1,0,0,0,0,0,0,0,,,,,,,,,,
Boomerang,Weapon S1,0,0,0,0,10,0,1,0,0,0,0,0,Boomerang 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,Weapon S2,0,0,0,0,5,0,0,1,0,0,0,0,Boomerang 0,0,1,0,0,0,0,1,0,,,,,,,,,,
Odyssey,Odyssey 5,0,1,0,0,0,0,0,0,1,0,0,1,Odyssey 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,Odyssey 6,1,0,0,0,0,0,0,0,0,1,0,1,Odyssey 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Odyssey 7,1,0,0,0,0,0,0,0,0,1,0,1,Odyssey 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Odyssey 8,0,1,0,0,0,0,0,0,1,0,0,1,Odyssey 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Odyssey 1 DT,1,0,0,0,0,0,0,0,0,0,1,1,Odyssey 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Odyssey 2 DT,1,0,0,0,0,0,0,0,0,0,1,1,Odyssey 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Odyssey 3 DT,1,0,0,0,0,0,0,0,0,0,1,1,Odyssey 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Odyssey 4 DT,1,0,0,0,0,0,0,0,0,0,1,1,Odyssey 1,0,0,0,1,0,0,3,0,,,,,,,,,,
Stadium,Stadium 1 DT,0,0,1,0,0,0,0,0,0,0,1,1,Stadium 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,Stadium 2 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Stadium 3 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Stadium 4 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,Stadium 5 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Stadium 6 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,Stadium 7 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Stadium 8 DT,1,0,0,0,0,0,0,0,0,1,0,1,Stadium 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Stadium 9 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Stadium 10 DT,0,0,1,0,0,0,0,0,0,1,0,1,Stadium 1,0,0,0,1,0,0,3,0,,,,,,,,,,
Scoop,Scoop 1,0,1,0,0,0,0,0,0,0,0,1,1,Scoop 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,Scoop 2,0,1,0,0,0,0,0,0,0,0,1,1,Scoop 0,1,0,0,0,0,0,0,0,,,,,,,,,,
Lame,Lame 1,2,0,0,0,0,0,0,0,0,0,1,1,Lame 0,0,0,1,0,0,0,2,0,,,,,,,,,,
BoomRamp,BoomRamp 1,1,0,0,0,0,0,0,0,0,0,1,1,Boomramp 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,BoomRamp 2,0,1,0,0,0,0,0,0,0,0,1,1,Boomramp 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,BoomRamp 3,1,0,0,0,0,0,0,0,0,0,1,1,Boomramp 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,BoomRamp 4,1,0,0,0,0,0,0,0,0,0,1,1,Boomramp 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,BoomRamp 5,1,0,0,0,0,0,0,0,0,0,1,1,Boomramp 0,0,0,0,0,0,1,5,0,,,,,,,,,,
BoomJump,BoomJump 1,0,1,0,0,0,0,0,0,0,0,1,1,Lame 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,BoomJump 2,0,1,0,0,0,0,0,0,0,0,1,1,Lame 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,BoomJump 3,0,1,0,0,0,0,0,0,0,0,1,1,Lame 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,BoomJump 4,1,0,0,0,0,0,0,0,0,0,1,1,Lame 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,BoomJump 5,0,0,0,1,0,0,0,0,0,0,1,1,Lame 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,BoomJump 6,0,1,0,0,0,0,0,0,0,0,1,1,Lame 0,0,1,0,0,0,0,1,0,,,,,,,,,,
Taji,Taji 1,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Taji 2,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,Taji 3,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,0,1,0,0,0,2,0,,,,,,,,,,
Taji Slab,Taji Slab 1,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Taji Slab 2,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Taji Slab 3,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,Taji Slab 4,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Taji Slab 5,1,0,0,0,0,0,0,0,0,1,0,1,Scoop 0,0,0,0,0,0,1,5,0,,,,,,,,,,
Taji Pinch,Taji Pinch 1,0,0,0,1,0,0,0,0,0,0,1,1,Taji 1,0,0,0,1,0,0,3,0,,,,,,,,,,
,Taji Pinch 2,0,0,0,1,0,0,0,0,0,0,1,1,Taji 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Taji Pinch 3,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Taji Pinch 4,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Taji Pinch 5,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,Taji Pinch 6,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,Taji Pinch 7,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Taji Pinch 8,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Taji Pinch 9,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,Taji Pinch 10,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Taji Pinch 1 DT,0,0,0,1,0,0,0,0,0,0,1,1,Taji 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Taji Pinch 2 DT,0,0,0,1,0,0,0,0,0,0,1,1,Taji 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,Taji Pinch 3 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,Taji Pinch 4 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Taji Pinch 5 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Taji Pinch 6 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,Taji Pinch 7 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,Taji Pinch 8 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,Taji Pinch 9 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Taji Pinch 10 DT,0,0,0,1,0,0,0,0,0,1,0,1,Taji 1,0,0,0,0,1,0,4,0,,,,,,,,,,
Wave,Wave 1 DT,0,1,0,0,0,0,0,0,0,0,1,1,Wave 1 DT,0,0,1,0,0,0,2,0,,,,,,,,,,
,Wave 2 DT,0,1,0,0,0,0,0,0,0,0,1,1,Wave 2 DT,0,0,0,1,0,0,3,0,,,,,,,,,,
,Wave 3 DT,0,1,0,0,0,0,0,0,0,0,1,1,Wave 3 DT,0,0,0,0,0,1,5,0,,,,,,,,,,
Set BoomJump,BoomJump 1 SML,0,3,0,0,0,0,0,0,0,0,1,1,Boomjump set 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,BoomJump 2 SML,0,3,0,0,0,0,0,0,0,0,1,1,Boomjump set 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,BoomJump 3 SML,0,3,0,0,0,0,0,0,0,0,1,1,Boomjump set 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,BoomJump 4 SML,3,0,0,0,0,0,0,0,0,0,1,1,Boomjump set 0,1,0,0,0,0,0,0,0,,,,,,,,,,
Set Boomerang,Boomerang 1 DT,0,0,3,0,0,0,0,0,0,1,0,1,Boomerang 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,Boomerang 2 DT,2,0,1,0,0,0,0,0,0,1,0,1,Boomerang 0,0,0,0,0,0,1,5,0,,,,,,,,,,
,Boomerang 3 DT,1,1,0,0,0,0,0,0,0,0,1,1,Boomerang 0,1,0,0,0,0,0,0,0,,,,,,,,,,
