Range,Set,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,XSmall,Small,Regular,Large,Huge,FB,Group,9005,4008,1018,9010,3020,5015,Random,Non-Random,,,Summary,Sloper,Jug ,Crimp,Pinch,Chip,Pocket,
,28.26,0,1,0,0,0,0,0,0,0,1,0,0,CC 2,1,0,0,0,0,0,0,0,,,,,,,,,,
,28.27,1,0,0,0,0,0,0,0,0,1,0,0,CC 2,0,0,1,0,0,0,2,0,,,,,,,,,,
,28.28,0,0,1,0,0,0,0,0,0,1,0,0,CC 2,0,0,0,0,0,1,5,0,,,,,,,,,,
,28.34,0,0,0,1,0,0,0,0,0,1,0,0,CC 2,0,0,0,1,0,0,3,0,,,,,,,,,,
,28.35,0,0,3,0,0,0,0,1,0,0,0,0,CC 2,1,0,0,0,0,0,0,0,,,,,,,,,,
,28.36,0,0,0,0,3,0,0,1,0,0,0,0,CC 2,0,0,0,1,0,0,3,0,,,,,,,,,,
,28.37,0,0,0,0,3,0,0,1,0,0,0,0,CC 2,0,0,0,0,0,1,5,0,,,,,,,,,,
,28.38,0,0,0,0,3,0,0,1,0,0,0,0,CC 2,0,0,0,0,0,1,5,0,,,,,,,,,,
,28.39,0,0,0,0,3,0,0,1,0,0,0,0,CC 2,0,1,0,0,0,0,1,0,,,,,,,,,,
,28.4,0,0,0,0,3,0,1,0,0,0,0,0,CC 2,0,0,0,0,1,0,4,0,,,,,,,,,,
,28.41,0,0,0,0,3,0,1,0,0,0,0,0,CC 2,0,0,0,0,1,0,4,0,,,,,,,,,,
Electric Flavour,27.24,0,2,0,0,0,0,0,0,0,1,0,0,27.24,1,0,0,0,0,0,0,0,,,,,,,,,,
,27.25,0,3,0,0,0,0,0,0,0,1,0,0,27.25,1,0,0,0,0,0,0,0,,,,,,,,,,
,27.26,0,5,0,0,0,0,0,0,1,0,0,0,27.26,0,0,0,0,0,1,5,0,,,,,,,,,,
Damage Control,26.01,0,2,0,0,0,0,0,0,0,1,0,0,DC 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,26.02,0,0,2,0,0,0,0,0,0,1,0,0,DC 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,26.03,0,0,2,0,0,0,0,0,0,1,0,0,DC 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.04,2,0,0,0,0,0,0,0,0,1,0,0,DC 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,26.05,2,0,0,0,0,0,0,0,0,1,0,0,DC 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,26.06,5,0,0,0,0,0,0,0,1,0,0,0,DC 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,26.07,3,0,0,0,0,0,0,1,0,0,0,0,DC 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.08,1,0,0,0,0,0,0,0,0,0,1,0,DC 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.09,1,0,0,0,0,0,0,0,0,1,0,0,DC 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.1,3,0,0,0,0,0,0,0,0,1,0,0,DC 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.11,2,0,0,0,0,0,0,0,0,1,0,0,DC 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,26.12,2,0,0,0,0,0,0,0,0,1,0,0,DC 1,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.13,2,0,0,0,0,0,0,0,1,0,0,0,DC 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.14,0,0,5,0,0,0,0,0,1,0,0,0,26.14,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.15,0,0,5,0,0,0,0,0,1,0,0,0,26.15,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.16,0,0,5,0,0,0,1,0,0,0,0,0,26.16,0,1,0,0,0,0,1,0,,,,,,,,,,
,26.17,0,0,0,0,5,0,1,0,0,0,0,0,26.17,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.18,0,0,0,0,5,0,1,0,0,0,0,0,26.18,0,0,1,0,0,0,2,0,,,,,,,,,,
,26.19,0,0,0,0,5,0,1,0,0,0,0,0,26.19,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.2,0,0,0,0,5,0,1,0,0,0,0,0,26.2,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.21,0,0,0,0,5,0,1,0,0,0,0,0,26.21,1,0,0,0,0,0,0,0,,,,,,,,,,
,26.22,0,0,0,0,5,0,1,0,0,0,0,0,26.22,0,0,0,0,0,1,5,0,,,,,,,,,,
,26.23,0,0,0,0,5,0,1,0,0,0,0,0,26.23,0,1,0,0,0,0,1,0,,,,,,,,,,
,26.24,0,0,0,0,5,0,1,0,0,0,0,0,26.24,1,0,0,0,0,0,0,0,,,,,,,,,,
,26.25,0,0,0,0,5,0,1,0,0,0,0,0,26.25,0,0,0,0,1,0,4,0,,,,,,,,,,
,26.26,0,0,0,0,5,0,1,0,0,0,0,0,26.26,0,0,0,1,0,0,3,0,,,,,,,,,,
,26.27,0,0,0,0,5,0,1,0,0,0,0,0,26.27,0,0,0,0,1,0,4,0,,,,,,,,,,
Revival,V01.01,2,0,0,0,0,0,0,0,0,1,0,1,Revival,0,0,0,1,0,0,3,0,,,,,,,,,,
,V01.02,2,0,0,0,0,0,0,0,0,1,0,1,Revival,0,0,0,0,1,0,4,0,,,,,,,,,,
,V01.03,2,0,0,0,0,0,0,0,0,1,0,1,Revival,0,0,0,0,0,1,5,0,,,,,,,,,,
,V01.04,2,0,0,0,0,0,0,0,0,1,0,1,Revival,0,0,1,0,0,0,2,0,,,,,,,,,,
SuperStar,V02.01,1,0,0,0,0,0,0,0,0,1,0,1,Superstar,0,1,0,0,0,0,1,0,,,,,,,,,,
,V02.02,1,0,0,0,0,0,0,0,0,1,0,1,Superstar,1,0,0,0,0,0,0,0,,,,,,,,,,
,V02.03,1,0,0,0,0,0,0,0,0,1,0,1,Superstar,0,0,0,0,1,0,4,0,,,,,,,,,,
,V02.04,1,0,0,0,0,0,0,0,0,1,0,1,Superstar,0,0,0,0,0,1,5,0,,,,,,,,,,
Elliot Master,V03.01,2,0,0,0,0,0,0,0,0,0,1,1,EM 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,V03.02,2,0,0,0,0,0,0,0,0,0,1,1,EM 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,V03.03,2,0,0,0,0,0,0,0,0,0,1,1,EM 1,0,0,0,1,0,0,3,0,,,,,,,,,,
,V03.04,2,0,0,0,0,0,0,0,0,0,1,1,EM 1,1,0,0,0,0,0,0,0,,,,,,,,,,
,V03.05,2,0,0,0,0,0,0,0,0,0,1,1,EM 0,0,0,0,1,0,0,3,0,,,,,,,,,,
Thunderbirds,V04.01,0,0,0,2,0,0,0,0,0,0,1,1,TB 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,V04.02,0,0,0,2,0,0,0,0,0,0,1,1,TB 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,V04.03,0,0,0,2,0,0,0,0,0,0,1,1,TB 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,V04.04,0,0,0,2,0,0,0,0,0,0,1,1,TB 1,0,0,0,1,0,0,3,0,,,,,,,,,,
Tsunami,V05.01,0,1,0,0,0,0,0,0,0,0,1,1,TS 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,V05.02,0,1,0,0,0,0,0,0,0,0,1,1,TS 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,V05.03,0,1,0,0,0,0,0,0,0,0,1,1,TS 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,V05.04,0,1,0,0,0,0,0,0,0,0,1,1,TS 1,0,0,1,0,0,0,2,0,,,,,,,,,,
,V05.05,0,1,0,0,0,0,0,0,0,0,1,1,TS 1,1,0,0,0,0,0,0,0,,,,,,,,,,
Golden Leaves,V06.01,1,0,0,0,0,0,0,0,0,0,1,1,GL 0,0,0,1,0,0,0,2,0,,,,,,,,,,
,V06.02,1,0,0,0,0,0,0,0,0,1,0,1,GL 0,0,1,0,0,0,0,1,0,,,,,,,,,,
Borderline,V07.01,2,0,0,0,0,0,0,0,0,0,1,1,BL 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,V07.02,2,0,0,0,0,0,0,0,0,0,1,1,BL 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,V07.03,2,0,0,0,0,0,0,0,0,0,1,1,BL 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,V07.04,2,0,0,0,0,0,0,0,0,0,1,1,BL 1,0,1,0,0,0,0,1,0,,,,,,,,,,
,V07.05,2,0,0,0,0,0,0,0,0,0,1,1,BL 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,V07.06,2,0,0,0,0,0,0,0,0,0,1,1,BL 1,0,1,0,0,0,0,1,0,,,,,,,,,,
Jolly Jumper,V08.01,0,0,2,0,0,0,0,0,0,0,1,1,JJ 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,V08.02,0,0,2,0,0,0,0,0,0,0,1,1,JJ 0,0,0,0,1,0,0,3,0,,,,,,,,,,
,V08.03,0,0,2,0,0,0,0,0,0,0,1,1,JJ 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,V08.04,0,0,2,0,0,0,0,0,0,0,1,1,JJ 1,0,0,0,0,0,1,5,0,,,,,,,,,,
,V08.05,0,0,2,0,0,0,0,0,0,0,1,1,JJ 1,1,0,0,0,0,0,0,0,,,,,,,,,,
Borderline Mini,V09.01,1,0,0,0,0,0,0,0,0,0,1,1,BM 0,0,0,0,0,1,0,4,0,,,,,,,,,,
,V09.02,1,0,0,0,0,0,0,0,0,0,1,1,BM 0,1,0,0,0,0,0,0,0,,,,,,,,,,
,V09.03,1,0,0,0,0,0,0,0,0,0,1,1,BM 0,0,1,0,0,0,0,1,0,,,,,,,,,,
,V09.04,1,0,0,0,0,0,0,0,0,0,1,1,BM 0,1,0,0,0,0,0,0,0,,,,,,,,,,
